DateTime,VPDmax,Tmax_F,Tmin_F,GDD,GDD_cum,ETc_mm,air_pressure_mean
2022-06-27,1449.86215,58.971956000000006,58.96940000000001,8.970678000000007,8.970678000000007,1e-05,94470.16493166667
2022-06-28,3385.49878,58.972190000000026,58.96916600000009,8.970678000000056,17.941356000000063,1.6940658945086007e-21,94261.14711
2022-06-29,3267.01122,58.97224400000009,58.96907600000001,8.970660000000052,26.912016000000115,-0.00014,93883.9342025
2022-06-30,,,,0.0,26.912016000000115,0.0,
2022-07-01,2119.79847,58.972424000000046,58.969201999999996,8.970813000000021,35.882829000000136,-1.0000000000000004e-05,93906.88804187499
2022-07-02,,,,0.0,35.882829000000136,0.0,
2022-07-03,2608.48983,58.97237000000008,58.96922000000005,8.970795000000066,44.8536240000002,-6.999999999999998e-05,93636.48016229167
2022-07-04,3725.53783,58.97183000000001,58.96846400000002,8.970147000000011,53.823771000000214,8e-05,93210.48091874999
2022-07-05,4759.28667,58.971722000000085,58.968446000000064,8.970084000000071,62.793855000000285,-0.00011,93260.85606124999
2022-07-06,1219.64193,59.01767600000009,58.969364,8.993520000000046,71.78737500000034,-0.0005099999999999999,93657.07363522727
2022-07-07,1944.08225,59.018954000000036,59.015156000000005,9.01705500000002,80.80443000000037,7.000000000000001e-05,93655.95731520833
2022-07-08,5741.69,98.10860000000007,59.01551600000002,28.562058000000036,109.3664880000004,1.02639,92823.40092708333
2022-07-09,7461.57,105.2294000000001,73.43249000000003,39.33094500000007,148.69743300000047,3.60046,91965.40611620253
2022-07-10,9236.26,109.58900000000004,79.09340000000003,44.34120000000004,193.03863300000052,1.2696399999999999,89997.66875
2022-07-11,4752.98,90.03020000000006,74.46380000000002,32.24700000000004,225.28563300000056,4.1016,90273.80416666665
2022-07-12,5473.35,96.29960000000007,67.77140000000009,32.03550000000007,257.3211330000006,1.81922,90319.96458333333
2022-07-13,7490.12,103.66520000000004,71.04920000000004,37.357200000000034,294.67833300000063,1.00564,90034.35625
2022-07-14,8272.4,106.51640000000005,75.14960000000008,40.833000000000055,335.5113330000007,0.78806,89935.375
2022-07-15,7107.25,102.52580000000007,78.33560000000003,40.43070000000006,375.9420330000008,2.00058,90187.34375
2022-07-16,6547.73,100.72580000000008,79.39400000000008,40.059900000000084,416.00193300000086,1.92167,90005.41875
2022-07-17,6679.23,100.86620000000003,74.90840000000004,37.88730000000004,453.8892330000009,0.020049999999999995,90079.01458333334
